Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2,Lng
Rams,,,,,,,,,,,116.0,,25.3,,,,199.0,80.0,9.0,2.0,1007.0,,,,,
Saints,,,,,,,,,,,103.0,,20.5,,,,220.0,89.0,4.0,3.0,946.0,,,,,
Broncos,,,,,,,,,,,82.0,,23.8,,,,207.0,76.0,19.0,10.0,985.0,,,,,
Chargers,,,,,,,,,,,90.0,,23.3,,,,212.0,79.0,20.0,10.0,999.0,,,,,
Jets,,,,,,,,,,,136.0,,24.6,,,,212.0,88.0,17.0,14.0,1047.0,,,,,
49ers,,,,,,,,,,,115.0,,23.7,,,,226.0,87.0,19.0,11.0,1090.0,,,,,
Browns,,,,,,,,,,,116.0,,22.0,,,,215.0,87.0,18.0,8.0,1021.0,,,,,
Bills,,,,,,,,,,,146.0,,29.9,,,,200.0,93.0,12.0,7.0,1030.0,,,,,
Bengals,,,,,,,,,,,109.0,,25.4,,,,190.0,81.0,14.0,6.0,976.0,,,,,
Vikings,,,,,,,,,,,96.0,,20.8,,,,221.0,95.0,13.0,5.0,1029.0,,,,,
Steelers,,,,,,,,,,,75.0,,18.7,,,,232.0,92.0,17.0,6.0,998.0,,,,,
Seahawks,,,,,,,,,,,78.0,,18.6,,,,234.0,89.0,19.0,12.0,1041.0,,,,,
Colts,,,,,,,,,,,91.0,,22.9,,,,207.0,76.0,24.0,14.0,953.0,,,,,
Colts,,,,,,,,,,,,,,,0.0,,,,,,,27.0,0.0,,,
Broncos,,,,,,,,,,,,,,,0.0,,,,,,,22.0,0.0,,,
Dolphins,,,,,,,,,,,,,,,0.0,,,,,,,22.0,0.0,,,
Eagles,,,,,,,,,,,,,,,0.0,,,,,,,22.0,0.0,,,
Bears,,,,,,,,,,,,,,,0.0,,,,,,,21.0,0.0,,,
Steelers,,,,,,,,,,,,,,,0.0,,,,,,,21.0,0.0,,,
Lions,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Texans,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Chiefs,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Redskins,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Ravens,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Panthers,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Bengals,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Giants,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Rams,,,,,,,,,,,,,,,0.0,,,,,,,18.0,0.0,,,
Cardinals,,,,,,,,,,,,,,,0.0,,,,,,,18.0,0.0,,,
Cowboys,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Jaguars,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Seahawks,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Buccaneers,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Bills,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Jets,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Chargers,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Raiders,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Falcons,,,,,,,,,,,,,,,0.0,,,,,,,14.0,0.0,,,
Packers,,,,,,,,,,,,,,,0.0,,,,,,,14.0,0.0,,,
Titans,,,,,,,,,,,,,,,0.0,,,,,,,13.0,0.0,,,
49ers,,,,,,,,,,,,,,,0.0,,,,,,,13.0,0.0,,,
Browns,,,,,,,,,,,,,,,0.0,,,,,,,12.0,0.0,,,
Vikings,,,,,,,,,,,,,,,0.0,,,,,,,12.0,0.0,,,
Saints,,,,,,,,,,,,,,,0.0,,,,,,,9.0,0.0,,,
Patriots,,,,,,,,,,,,,,,0.0,,,,,,,8.0,0.0,,,
Bengals,,,,,,,31.0,,,,,,,,,,,,,,,,,1.0,260.0,37T
Bears,,,,,,,24.0,,,,,,,,,,,,,,,,,4.0,524.0,95
Vikings,,,,,,,24.0,,,,,,,,,,,,,,,,,3.0,392.0,92
Panthers,,,,,,,23.0,,,,,,,,,,,,,,,,,2.0,440.0,61
Jets,,,,,,,21.0,,,,,,,,,,,,,,,,,2.0,279.0,74
Broncos,,,,,,,20.0,,,,,,,,,,,,,,,,,3.0,379.0,80
Lions,,,,,,,19.0,,,,,,,,,,,,,,,,,2.0,308.0,64
Jaguars,,,,,,,19.0,,,,,,,,,,,,,,,,,2.0,184.0,41
Colts,,,,,,,18.0,,,,,,,,,,,,,,,,,2.0,259.0,36
Bills,,,,,,,17.0,,,,,,,,,,,,,,,,,1.0,233.0,46T
Giants,,,,,,,17.0,,,,,,,,,,,,,,,,,1.0,354.0,71T
Eagles,,,,,,,17.0,,,,,,,,,,,,,,,,,1.0,195.0,40T
Buccaneers,,,,,,,17.0,,,,,,,,,,,,,,,,,0.0,223.0,42
Falcons,,,,,,,16.0,,,,,,,,,,,,,,,,,0.0,268.0,65
Chiefs,,,,,,,16.0,,,,,,,,,,,,,,,,,1.0,232.0,57T
49ers,,,,,,,16.0,,,,,,,,,,,,,,,,,3.0,220.0,61
Seahawks,,,,,,,16.0,,,,,,,,,,,,,,,,,2.0,315.0,72
Redskins,,,,,,,16.0,,,,,,,,,,,,,,,,,1.0,176.0,41
Browns,,,,,,,15.0,,,,,,,,,,,,,,,,,0.0,130.0,37
Cowboys,,,,,,,15.0,,,,,,,,,,,,,,,,,2.0,187.0,58
Cardinals,,,,,,,15.0,,,,,,,,,,,,,,,,,3.0,285.0,60
Steelers,,,,,,,15.0,,,,,,,,,,,,,,,,,0.0,179.0,55
Dolphins,,,,,,,14.0,,,,,,,,,,,,,,,,,0.0,136.0,37
Rams,,,,,,,13.0,,,,,,,,,,,,,,,,,2.0,364.0,85
Ravens,,,,,,,11.0,,,,,,,,,,,,,,,,,1.0,191.0,38
Packers,,,,,,,10.0,,,,,,,,,,,,,,,,,2.0,205.0,95
Patriots,,,,,,,10.0,,,,,,,,,,,,,,,,,2.0,85.0,39
Saints,,,,,,,10.0,,,,,,,,,,,,,,,,,0.0,182.0,51
Chargers,,,,,,,10.0,,,,,,,,,,,,,,,,,2.0,205.0,70T
Titans,,,,,,,9.0,,,,,,,,,,,,,,,,,2.0,129.0,52
Texans,,,,,,,7.0,,,,,,,,,,,,,,,,,0.0,46.0,29
Raiders,,,,,,,5.0,,,,,,,,,,,,,,,,,0.0,38.0,33
Packers,515.0,286.0,55.5,6.4,3309.0,25.0,23.0,169.0,32.8,46.0,,,,,,,,,,,,,,,,
Lions,511.0,339.0,66.3,6.9,3520.0,22.0,12.0,183.0,35.8,30.0,,,,,,,,,,,,,,,,
Rams,451.0,266.0,59.0,6.7,3035.0,21.0,17.0,164.0,36.4,34.0,,,,,,,,,,,,,,,,
Dolphins,497.0,279.0,56.1,6.0,3007.0,22.0,8.0,166.0,33.4,47.0,,,,,,,,,,,,,,,,
Saints,474.0,267.0,56.3,6.0,2854.0,26.0,11.0,148.0,31.2,38.0,,,,,,,,,,,,,,,,
Colts,415.0,266.0,64.1,6.1,2548.0,16.0,15.0,150.0,36.1,25.0,,,,,,,,,,,,,,,,
Cardinals,522.0,321.0,61.5,7.1,3694.0,21.0,16.0,186.0,35.6,38.0,,,,,,,,,,,,,,,,
Eagles,525.0,309.0,58.9,5.8,3067.0,17.0,19.0,154.0,29.3,40.0,,,,,,,,,,,,,,,,
Vikings,599.0,355.0,59.3,6.4,3818.0,15.0,21.0,192.0,32.0,30.0,,,,,,,,,,,,,,,,
Panthers,500.0,291.0,58.2,6.0,3000.0,22.0,14.0,149.0,29.8,41.0,,,,,,,,,,,,,,,,
Buccaneers,493.0,301.0,61.0,6.8,3354.0,26.0,11.0,174.0,35.3,25.0,,,,,,,,,,,,,,,,
Patriots,518.0,294.0,56.8,6.2,3203.0,10.0,22.0,164.0,31.7,44.0,,,,,,,,,,,,,,,,
Ravens,509.0,279.0,54.8,5.9,3011.0,16.0,28.0,151.0,29.7,60.0,,,,,,,,,,,,,,,,
Bengals,555.0,349.0,62.9,6.9,3818.0,24.0,19.0,206.0,37.1,35.0,,,,,,,,,,,,,,,,
Giants,567.0,333.0,58.7,6.4,3649.0,21.0,17.0,189.0,33.3,32.0,,,,,,,,,,,,,,,,
Steelers,529.0,319.0,60.3,6.4,3393.0,21.0,20.0,176.0,33.3,39.0,,,,,,,,,,,,,,,,
Bears,581.0,328.0,56.4,5.4,3116.0,18.0,24.0,159.0,27.4,40.0,,,,,,,,,,,,,,,,
Browns,499.0,283.0,56.7,6.5,3242.0,20.0,18.0,178.0,35.7,28.0,,,,,,,,,,,,,,,,
Seahawks,504.0,299.0,59.3,6.5,3256.0,23.0,12.0,160.0,31.8,41.0,,,,,,,,,,,,,,,,
Cowboys,511.0,301.0,58.9,6.9,3506.0,25.0,18.0,179.0,35.0,34.0,,,,,,,,,,,,,,,,
Jets,532.0,316.0,59.4,6.1,3222.0,19.0,16.0,181.0,34.0,35.0,,,,,,,,,,,,,,,,
Raiders,410.0,245.0,59.8,5.9,2413.0,17.0,18.0,137.0,33.4,34.0,,,,,,,,,,,,,,,,
Texans,505.0,328.0,65.0,6.8,3444.0,22.0,11.0,174.0,34.5,28.0,,,,,,,,,,,,,,,,
Redskins,486.0,289.0,59.5,7.2,3491.0,30.0,6.0,169.0,34.8,19.0,,,,,,,,,,,,,,,,
Chargers,538.0,307.0,57.1,6.0,3212.0,19.0,16.0,178.0,33.1,61.0,,,,,,,,,,,,,,,,
Broncos,538.0,327.0,60.8,6.3,3410.0,13.0,17.0,183.0,34.0,35.0,,,,,,,,,,,,,,,,
Chiefs,506.0,314.0,62.1,6.6,3334.0,18.0,15.0,171.0,33.8,32.0,,,,,,,,,,,,,,,,
Titans,530.0,335.0,63.2,6.8,3602.0,24.0,17.0,181.0,34.2,26.0,,,,,,,,,,,,,,,,
Jaguars,523.0,294.0,56.2,5.9,3078.0,12.0,20.0,143.0,27.3,35.0,,,,,,,,,,,,,,,,
49ers,518.0,331.0,63.9,6.9,3571.0,25.0,14.0,189.0,36.5,34.0,,,,,,,,,,,,,,,,
Bills,513.0,324.0,63.2,5.9,3019.0,18.0,13.0,168.0,32.8,40.0,,,,,,,,,,,,,,,,
Falcons,515.0,321.0,62.3,7.1,3668.0,20.0,12.0,183.0,35.5,37.0,,,,,,,,,,,,,,,,
Falcons,442.0,,,,,14.0,,,,,1657.0,3.8,97.0,22.0,,,,,,,,,,,,
Chargers,386.0,,,,,13.0,,,,,1613.0,4.2,87.0,22.5,,,,,,,,,,,,
Jaguars,420.0,,,,,14.0,,,,,1460.0,3.5,94.0,22.4,,,,,,,,,,,,
Chiefs,461.0,,,,,14.0,,,,,1928.0,4.2,109.0,23.6,,,,,,,,,,,,
Bears,402.0,,,,,7.0,,,,,1590.0,4.0,77.0,19.2,,,,,,,,,,,,
Patriots,388.0,,,,,11.0,,,,,1507.0,3.9,67.0,17.3,,,,,,,,,,,,
Jets,453.0,,,,,14.0,,,,,2084.0,4.6,111.0,24.5,,,,,,,,,,,,
Redskins,492.0,,,,,9.0,,,,,2197.0,4.5,104.0,21.1,,,,,,,,,,,,
Broncos,447.0,,,,,13.0,,,,,1813.0,4.1,97.0,21.7,,,,,,,,,,,,
Seahawks,441.0,,,,,12.0,,,,,2029.0,4.6,102.0,23.1,,,,,,,,,,,,
Ravens,367.0,,,,,5.0,,,,,1214.0,3.3,59.0,16.1,,,,,,,,,,,,
Cowboys,429.0,,,,,12.0,,,,,1659.0,3.9,88.0,20.5,,,,,,,,,,,,
Saints,418.0,,,,,10.0,,,,,2063.0,4.9,96.0,23.0,,,,,,,,,,,,
Titans,506.0,,,,,20.0,,,,,2313.0,4.6,121.0,23.9,,,,,,,,,,,,
Steelers,408.0,,,,,9.0,,,,,1412.0,3.5,72.0,17.6,,,,,,,,,,,,
Giants,458.0,,,,,19.0,,,,,1830.0,4.0,106.0,23.1,,,,,,,,,,,,
Vikings,348.0,,,,,9.0,,,,,985.0,2.8,53.0,15.2,,,,,,,,,,,,
Colts,519.0,,,,,20.0,,,,,2768.0,5.3,150.0,28.9,,,,,,,,,,,,
49ers,473.0,,,,,18.0,,,,,1936.0,4.1,107.0,22.6,,,,,,,,,,,,
Bengals,448.0,,,,,15.0,,,,,1863.0,4.2,109.0,24.3,,,,,,,,,,,,
Packers,441.0,,,,,12.0,,,,,1825.0,4.1,95.0,21.5,,,,,,,,,,,,
Texans,446.0,,,,,16.0,,,,,1956.0,4.4,115.0,25.8,,,,,,,,,,,,
Rams,477.0,,,,,21.0,,,,,2327.0,4.9,121.0,25.4,,,,,,,,,,,,
Panthers,449.0,,,,,10.0,,,,,1737.0,3.9,96.0,21.4,,,,,,,,,,,,
Bills,476.0,,,,,14.0,,,,,2254.0,4.7,117.0,24.6,,,,,,,,,,,,
Cardinals,458.0,,,,,16.0,,,,,1897.0,4.1,114.0,24.9,,,,,,,,,,,,
Eagles,489.0,,,,,12.0,,,,,2182.0,4.5,126.0,25.8,,,,,,,,,,,,
Buccaneers,497.0,,,,,11.0,,,,,1917.0,3.9,108.0,21.7,,,,,,,,,,,,
Dolphins,461.0,,,,,7.0,,,,,1618.0,3.5,72.0,15.6,,,,,,,,,,,,
Raiders,542.0,,,,,15.0,,,,,2144.0,4.0,107.0,19.7,,,,,,,,,,,,
Browns,514.0,,,,,14.0,,,,,2275.0,4.4,107.0,20.8,,,,,,,,,,,,
Lions,492.0,,,,,18.0,,,,,2010.0,4.1,111.0,22.6,,,,,,,,,,,,
Falcons,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Ravens,,,,,,,5.0,,,,,,,,0.0,2.0,,,,,,,,,,
Bills,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Panthers,,,,,,,2.0,,,,,,,,0.0,1.0,,,,,,,,,,
Bears,,,,,,,1.0,,,,,,,,0.0,1.0,,,,,,,,,,
Bengals,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Browns,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Cowboys,,,,,,,3.0,,,,,,,,0.0,0.0,,,,,,,,,,
Broncos,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Lions,,,,,,,1.0,,,,,,,,0.0,1.0,,,,,,,,,,
Packers,,,,,,,4.0,,,,,,,,0.0,0.0,,,,,,,,,,
Titans,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Texans,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Colts,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
Jaguars,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Chiefs,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
Rams,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Raiders,,,,,,,2.0,,,,,,,,0.0,1.0,,,,,,,,,,
Dolphins,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Vikings,,,,,,,3.0,,,,,,,,0.0,0.0,,,,,,,,,,
Patriots,,,,,,,0.0,,,,,,,,0.0,1.0,,,,,,,,,,
Saints,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
Giants,,,,,,,2.0,,,,,,,,0.0,1.0,,,,,,,,,,
Jets,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
Eagles,,,,,,,4.0,,,,,,,,0.0,0.0,,,,,,,,,,
Cardinals,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Steelers,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Chargers,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
49ers,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Seahawks,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Buccaneers,,,,,,,3.0,,,,,,,,0.0,0.0,,,,,,,,,,
Redskins,,,,,,,0.0,,,,,,,,0.0,1.0,,,,,,,,,,
Packers,,,,,,,,,,,95.0,,21.5,,,,215.0,70.0,21.0,13.0,1002.0,,,,,
Dolphins,,,,,,,,,,,72.0,,15.6,,,,234.0,89.0,16.0,9.0,1005.0,,,,,
Saints,,,,,,,,,,,96.0,,23.0,,,,199.0,69.0,13.0,6.0,930.0,,,,,
Ravens,,,,,,,,,,,59.0,,16.1,,,,208.0,60.0,23.0,9.0,936.0,,,,,
Vikings,,,,,,,,,,,53.0,,15.2,,,,215.0,74.0,13.0,7.0,977.0,,,,,
Bears,,,,,,,,,,,77.0,,19.2,,,,239.0,74.0,16.0,10.0,1023.0,,,,,
Patriots,,,,,,,,,,,67.0,,17.3,,,,209.0,75.0,11.0,3.0,950.0,,,,,
Jets,,,,,,,,,,,111.0,,24.5,,,,208.0,76.0,23.0,12.0,1020.0,,,,,
Seahawks,,,,,,,,,,,102.0,,23.1,,,,219.0,80.0,12.0,6.0,986.0,,,,,
Rams,,,,,,,,,,,121.0,,25.4,,,,205.0,93.0,6.0,2.0,962.0,,,,,
Buccaneers,,,,,,,,,,,108.0,,21.7,,,,217.0,82.0,12.0,5.0,1015.0,,,,,
Falcons,,,,,,,,,,,97.0,,22.0,,,,207.0,87.0,10.0,4.0,994.0,,,,,
Chiefs,,,,,,,,,,,109.0,,23.6,,,,212.0,83.0,13.0,8.0,999.0,,,,,
Jaguars,,,,,,,,,,,94.0,,22.4,,,,227.0,83.0,14.0,4.0,978.0,,,,,
Steelers,,,,,,,,,,,72.0,,17.6,,,,219.0,86.0,12.0,6.0,976.0,,,,,
Chargers,,,,,,,,,,,87.0,,22.5,,,,213.0,78.0,17.0,6.0,985.0,,,,,
Raiders,,,,,,,,,,,107.0,,19.7,,,,221.0,79.0,19.0,10.0,986.0,,,,,
Cardinals,,,,,,,,,,,114.0,,24.9,,,,201.0,83.0,15.0,7.0,1018.0,,,,,
Broncos,,,,,,,,,,,97.0,,21.7,,,,221.0,81.0,14.0,5.0,1020.0,,,,,
Redskins,,,,,,,,,,,104.0,,21.1,,,,222.0,97.0,9.0,6.0,997.0,,,,,
Panthers,,,,,,,,,,,96.0,,21.4,,,,222.0,70.0,14.0,11.0,990.0,,,,,
Browns,,,,,,,,,,,107.0,,20.8,,,,228.0,100.0,10.0,4.0,1041.0,,,,,
Eagles,,,,,,,,,,,126.0,,25.8,,,,222.0,83.0,21.0,10.0,1054.0,,,,,
49ers,,,,,,,,,,,107.0,,22.6,,,,216.0,96.0,14.0,7.0,1025.0,,,,,
Cowboys,,,,,,,,,,,88.0,,20.5,,,,212.0,93.0,16.0,8.0,974.0,,,,,
Titans,,,,,,,,,,,121.0,,23.9,,,,221.0,90.0,17.0,10.0,1062.0,,,,,
Giants,,,,,,,,,,,106.0,,23.1,,,,226.0,97.0,24.0,9.0,1057.0,,,,,
Bengals,,,,,,,,,,,109.0,,24.3,,,,211.0,88.0,21.0,11.0,1038.0,,,,,
Bills,,,,,,,,,,,117.0,,24.6,,,,216.0,79.0,17.0,11.0,1029.0,,,,,
Texans,,,,,,,,,,,115.0,,25.8,,,,198.0,88.0,11.0,5.0,979.0,,,,,
Lions,,,,,,,,,,,111.0,,22.6,,,,207.0,90.0,5.0,4.0,1033.0,,,,,
Colts,,,,,,,,,,,150.0,,28.9,,,,191.0,90.0,14.0,11.0,959.0,,,,,
Bears,,,,,,,,,,,,,,,0.0,,,,,,,27.0,0.0,,,
Dolphins,,,,,,,,,,,,,,,0.0,,,,,,,27.0,0.0,,,
Chiefs,,,,,,,,,,,,,,,0.0,,,,,,,23.0,0.0,,,
Broncos,,,,,,,,,,,,,,,0.0,,,,,,,22.0,0.0,,,
Cowboys,,,,,,,,,,,,,,,0.0,,,,,,,21.0,0.0,,,
Cardinals,,,,,,,,,,,,,,,0.0,,,,,,,21.0,0.0,,,
Colts,,,,,,,,,,,,,,,0.0,,,,,,,20.0,0.0,,,
Falcons,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Rams,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Eagles,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Buccaneers,,,,,,,,,,,,,,,0.0,,,,,,,19.0,0.0,,,
Lions,,,,,,,,,,,,,,,1.0,,,,,,,18.0,0.0,,,
Seahawks,,,,,,,,,,,,,,,0.0,,,,,,,18.0,0.0,,,
Giants,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Chargers,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
49ers,,,,,,,,,,,,,,,0.0,,,,,,,17.0,0.0,,,
Bills,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Packers,,,,,,,,,,,,,,,0.0,,,,,,,16.0,0.0,,,
Panthers,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Saints,,,,,,,,,,,,,,,0.0,,,,,,,15.0,0.0,,,
Bengals,,,,,,,,,,,,,,,1.0,,,,,,,14.0,0.0,,,
Vikings,,,,,,,,,,,,,,,2.0,,,,,,,14.0,0.0,,,
Patriots,,,,,,,,,,,,,,,0.0,,,,,,,14.0,0.0,,,
Ravens,,,,,,,,,,,,,,,0.0,,,,,,,13.0,0.0,,,
Texans,,,,,,,,,,,,,,,0.0,,,,,,,13.0,0.0,,,
Jets,,,,,,,,,,,,,,,0.0,,,,,,,13.0,0.0,,,
Steelers,,,,,,,,,,,,,,,1.0,,,,,,,13.0,0.0,,,
Redskins,,,,,,,,,,,,,,,0.0,,,,,,,12.0,0.0,,,
Titans,,,,,,,,,,,,,,,0.0,,,,,,,10.0,0.0,,,
Raiders,,,,,,,,,,,,,,,1.0,,,,,,,9.0,0.0,,,
Browns,,,,,,,,,,,,,,,1.0,,,,,,,8.0,0.0,,,
Jaguars,,,,,,,,,,,,,,,0.0,,,,,,,8.0,0.0,,,
Ravens,,,,,,,28.0,,,,,,,,,,,,,,,,,5.0,544.0,60T
Bears,,,,,,,24.0,,,,,,,,,,,,,,,,,1.0,279.0,54T
Packers,,,,,,,23.0,,,,,,,,,,,,,,,,,4.0,289.0,55
Patriots,,,,,,,22.0,,,,,,,,,,,,,,,,,0.0,262.0,70
Vikings,,,,,,,21.0,,,,,,,,,,,,,,,,,3.0,243.0,47
Jaguars,,,,,,,20.0,,,,,,,,,,,,,,,,,1.0,280.0,55T
Steelers,,,,,,,20.0,,,,,,,,,,,,,,,,,2.0,272.0,49
Bengals,,,,,,,19.0,,,,,,,,,,,,,,,,,1.0,248.0,52T
Eagles,,,,,,,19.0,,,,,,,,,,,,,,,,,4.0,428.0,102
Browns,,,,,,,18.0,,,,,,,,,,,,,,,,,1.0,256.0,57T
Cowboys,,,,,,,18.0,,,,,,,,,,,,,,,,,3.0,234.0,41
Raiders,,,,,,,18.0,,,,,,,,,,,,,,,,,2.0,206.0,100
Broncos,,,,,,,17.0,,,,,,,,,,,,,,,,,2.0,244.0,70
Titans,,,,,,,17.0,,,,,,,,,,,,,,,,,2.0,282.0,83
Rams,,,,,,,17.0,,,,,,,,,,,,,,,,,1.0,164.0,38T
Giants,,,,,,,17.0,,,,,,,,,,,,,,,,,2.0,305.0,96
Jets,,,,,,,16.0,,,,,,,,,,,,,,,,,0.0,56.0,25
Cardinals,,,,,,,16.0,,,,,,,,,,,,,,,,,1.0,350.0,99T
Chargers,,,,,,,16.0,,,,,,,,,,,,,,,,,0.0,140.0,35
Colts,,,,,,,15.0,,,,,,,,,,,,,,,,,0.0,157.0,38
Chiefs,,,,,,,15.0,,,,,,,,,,,,,,,,,0.0,124.0,30
Panthers,,,,,,,14.0,,,,,,,,,,,,,,,,,2.0,115.0,30
49ers,,,,,,,14.0,,,,,,,,,,,,,,,,,1.0,178.0,43
Bills,,,,,,,13.0,,,,,,,,,,,,,,,,,2.0,203.0,76
Falcons,,,,,,,12.0,,,,,,,,,,,,,,,,,1.0,257.0,60
Lions,,,,,,,12.0,,,,,,,,,,,,,,,,,1.0,160.0,88T
Seahawks,,,,,,,12.0,,,,,,,,,,,,,,,,,1.0,124.0,37T
Texans,,,,,,,11.0,,,,,,,,,,,,,,,,,1.0,78.0,21T
Saints,,,,,,,11.0,,,,,,,,,,,,,,,,,0.0,106.0,54
Buccaneers,,,,,,,11.0,,,,,,,,,,,,,,,,,3.0,226.0,66
Dolphins,,,,,,,8.0,,,,,,,,,,,,,,,,,2.0,116.0,51T
Redskins,,,,,,,6.0,,,,,,,,,,,,,,,,,0.0,25.0,25
Saints,524.0,327.0,62.4,7.5,3924.0,32.0,13.0,196.0,37.4,32.0,,,,,,,,,,,,,,,,
Cardinals,570.0,361.0,63.3,6.5,3716.0,26.0,18.0,185.0,32.5,36.0,,,,,,,,,,,,,,,,
Seahawks,568.0,333.0,58.6,6.2,3505.0,15.0,20.0,183.0,32.2,45.0,,,,,,,,,,,,,,,,
Lions,602.0,422.0,70.1,6.9,4131.0,32.0,17.0,221.0,36.7,37.0,,,,,,,,,,,,,,,,
Patriots,526.0,314.0,59.7,5.8,3041.0,23.0,19.0,172.0,32.7,47.0,,,,,,,,,,,,,,,,
Packers,534.0,295.0,55.2,6.3,3366.0,23.0,19.0,176.0,33.0,36.0,,,,,,,,,,,,,,,,
Eagles,539.0,312.0,57.9,6.4,3449.0,16.0,11.0,177.0,32.8,37.0,,,,,,,,,,,,,,,,
Bengals,540.0,353.0,65.4,6.8,3687.0,29.0,19.0,200.0,37.0,22.0,,,,,,,,,,,,,,,,
Rams,523.0,318.0,60.8,6.9,3613.0,25.0,18.0,190.0,36.3,31.0,,,,,,,,,,,,,,,,
Bears,541.0,343.0,63.4,6.8,3708.0,19.0,16.0,185.0,34.2,41.0,,,,,,,,,,,,,,,,
Chiefs,462.0,276.0,59.7,6.5,3022.0,17.0,14.0,156.0,33.8,37.0,,,,,,,,,,,,,,,,
Dolphins,409.0,242.0,59.2,7.4,3019.0,28.0,14.0,165.0,40.3,30.0,,,,,,,,,,,,,,,,
Ravens,490.0,293.0,59.8,7.3,3557.0,27.0,17.0,162.0,33.1,32.0,,,,,,,,,,,,,,,,
Falcons,536.0,336.0,62.7,6.8,3655.0,27.0,16.0,190.0,35.4,25.0,,,,,,,,,,,,,,,,
Colts,498.0,325.0,65.3,5.6,2764.0,16.0,22.0,162.0,32.5,28.0,,,,,,,,,,,,,,,,
Browns,578.0,340.0,58.8,6.4,3681.0,29.0,17.0,211.0,36.5,28.0,,,,,,,,,,,,,,,,
Giants,523.0,306.0,58.5,6.3,3317.0,24.0,15.0,185.0,35.4,53.0,,,,,,,,,,,,,,,,
Cowboys,581.0,342.0,58.9,5.9,3409.0,19.0,19.0,195.0,33.6,46.0,,,,,,,,,,,,,,,,
Texans,546.0,361.0,66.1,6.7,3682.0,25.0,11.0,197.0,36.1,31.0,,,,,,,,,,,,,,,,
Redskins,602.0,351.0,58.3,5.7,3424.0,20.0,14.0,174.0,28.9,33.0,,,,,,,,,,,,,,,,
Broncos,458.0,279.0,60.9,6.8,3094.0,25.0,14.0,168.0,36.7,33.0,,,,,,,,,,,,,,,,
Niners,543.0,345.0,63.5,6.7,3643.0,24.0,12.0,187.0,34.4,31.0,,,,,,,,,,,,,,,,
Jets,470.0,289.0,61.5,6.7,3154.0,18.0,15.0,174.0,37.0,29.0,,,,,,,,,,,,,,,,
Panthers,537.0,337.0,62.8,6.4,3426.0,22.0,14.0,174.0,32.4,23.0,,,,,,,,,,,,,,,,
