Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2,Lng
Saints,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,
Giants,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Jets,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Eagles,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Cardinals,,,,,,,3.0,,,,,,,,0.0,0.0,,,,,,,,,,
Steelers,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Chargers,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
49ers,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Seahawks,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Buccaneers,,,,,,,2.0,,,,,,,,0.0,0.0,,,,,,,,,,
Redskins,,,,,,,1.0,,,,,,,,0.0,0.0,,,,,,,,,,
Bengals,,,,,,,,,,,86.0,,19.0,,,,225.0,86.0,13.0,5.0,1013.0,,,,,
Titans,,,,,,,,,,,79.0,,19.5,,,,212.0,74.0,14.0,7.0,996.0,,,,,
Steelers,,,,,,,,,,,70.0,,20.6,,,,199.0,68.0,17.0,4.0,919.0,,,,,
Ravens,,,,,,,,,,,81.0,,19.8,,,,227.0,70.0,15.0,6.0,1010.0,,,,,
Buccaneers,,,,,,,,,,,86.0,,20.7,,,,216.0,78.0,13.0,4.0,950.0,,,,,
Saints,,,,,,,,,,,88.0,,19.9,,,,201.0,80.0,12.0,3.0,948.0,,,,,
Bears,,,,,,,,,,,71.0,,19.0,,,,223.0,80.0,17.0,4.0,1023.0,,,,,
Redskins,,,,,,,,,,,103.0,,21.3,,,,210.0,76.0,17.0,5.0,982.0,,,,,
Lions,,,,,,,,,,,99.0,,21.1,,,,210.0,87.0,13.0,6.0,1015.0,,,,,
Patriots,,,,,,,,,,,99.0,,23.1,,,,215.0,80.0,15.0,5.0,1016.0,,,,,
Chargers,,,,,,,,,,,99.0,,22.0,,,,224.0,84.0,12.0,7.0,1025.0,,,,,
Giants,,,,,,,,,,,83.0,,19.4,,,,218.0,66.0,19.0,11.0,995.0,,,,,
Eagles,,,,,,,,,,,88.0,,19.3,,,,232.0,71.0,13.0,7.0,1017.0,,,,,
Panthers,,,,,,,,,,,106.0,,20.4,,,,233.0,97.0,10.0,7.0,1057.0,,,,,
Broncos,,,,,,,,,,,86.0,,21.2,,,,191.0,63.0,10.0,4.0,960.0,,,,,
Falcons,,,,,,,,,,,95.0,,23.5,,,,201.0,93.0,8.0,2.0,957.0,,,,,
Bills,,,,,,,,,,,122.0,,25.3,,,,205.0,86.0,9.0,4.0,969.0,,,,,
Cowboys,,,,,,,,,,,90.0,,19.1,,,,214.0,76.0,15.0,8.0,985.0,,,,,
