Team,Att,Cmp,CmpPct,Yds/Att,Yds,TD,INT,1st,1stPct,Sck,Rush,YPC,RushPct,RushPct2,FR,SFTY,3rd,3rdPct,4th,4thPct,Scrm,FF,FRPct,INTPct,INTPct2
Steelers,521.0,280.0,53.7,5.8,3020.0,13.0,17.0,153.0,29.4,39.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Buccaneers,594.0,339.0,57.1,5.3,3152.0,15.0,25.0,180.0,30.3,55.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Dolphins,530.0,282.0,53.2,5.5,2900.0,13.0,28.0,156.0,29.4,48.0,560.5,4.2,41.7,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Titans,387.0,333.0,61.5,6.5,3583.0,7.0,11.0,185.0,34.0,37.0,1390.0,3.6,62.0,16.0,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Steelers,425.0,333.0,61.5,6.5,3583.0,9.0,11.0,185.0,34.0,37.0,1693.0,4.0,82.0,19.3,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Raiders,383.0,333.0,61.5,6.5,3583.0,8.0,11.0,185.0,34.0,37.0,1551.0,4.0,85.0,22.2,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Broncos,344.0,333.0,61.5,6.5,3583.0,13.0,11.0,185.0,34.0,37.0,1598.0,4.6,80.0,23.3,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Ravens,361.0,333.0,61.5,6.5,3583.0,5.0,11.0,185.0,34.0,37.0,970.0,2.7,59.0,16.3,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Giants,359.0,333.0,61.5,6.5,3583.0,7.0,11.0,185.0,34.0,37.0,1156.0,3.2,62.0,17.3,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Saints,395.0,333.0,61.5,6.5,3583.0,14.0,11.0,185.0,34.0,37.0,1672.0,4.2,95.0,24.0,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Dolphins,417.0,333.0,61.5,6.5,3583.0,9.0,11.0,185.0,34.0,37.0,1736.0,4.2,92.0,22.1,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bengals,504.0,333.0,61.5,6.5,3583.0,12.0,11.0,185.0,34.0,37.0,1925.0,3.8,101.0,20.0,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Buccaneers,398.0,333.0,61.5,6.5,3583.0,12.0,11.0,185.0,34.0,37.0,1648.0,4.1,84.0,21.1,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Jaguars,436.0,333.0,61.5,6.5,3583.0,14.0,11.0,185.0,34.0,37.0,1685.0,3.9,85.0,19.5,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bills,444.0,333.0,61.5,6.5,3583.0,13.0,11.0,185.0,34.0,37.0,1559.0,3.5,76.0,17.1,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Cowboys,538.0,333.0,61.5,6.5,3583.0,17.0,11.0,185.0,34.0,37.0,2636.0,4.9,137.0,25.5,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Lions,421.0,333.0,61.5,6.5,3583.0,14.0,11.0,185.0,34.0,37.0,1823.0,4.3,96.0,22.8,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Redskins,430.0,333.0,61.5,6.5,3583.0,9.0,11.0,185.0,34.0,37.0,1853.0,4.3,97.0,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Colts,446.0,333.0,61.5,6.5,3583.0,13.0,11.0,185.0,34.0,37.0,1935.0,4.3,109.0,24.4,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Vikings,396.0,333.0,61.5,6.5,3583.0,17.0,11.0,185.0,34.0,37.0,1788.0,4.5,110.0,27.8,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Patriots,495.0,333.0,61.5,6.5,3583.0,12.0,11.0,185.0,34.0,37.0,1831.0,3.7,108.0,21.8,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Jets,476.0,333.0,61.5,6.5,3583.0,9.0,11.0,185.0,34.0,37.0,1888.0,4.0,98.0,20.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
Bears,469.0,333.0,61.5,6.5,3583.0,15.0,11.0,185.0,34.0,37.0,1827.0,3.9,106.0,22.6,0.0,0.0,212.0,82.0,16.0,8.0,1015.0,15.0,0.0,1.0,196.0
