Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Saints,497.0,298.0,60.0,7.2,3573.0,22.0,15.0,84.2,169.0,34.0,42.0,8.0,39.0,244.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Vikings,495.0,307.0,62.0,8.1,4019.0,33.0,18.0,94.7,193.0,39.0,57.0,13.0,35.0,187.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Browns,483.0,278.0,57.6,5.6,2728.0,9.0,19.0,63.4,110.0,22.8,25.0,3.0,40.0,283.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Raiders,475.0,284.0,59.8,7.2,3430.0,28.0,11.0,92.0,177.0,37.3,42.0,8.0,28.0,124.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Titans,462.0,286.0,61.9,7.4,3430.0,18.0,16.0,83.2,167.0,36.2,41.0,6.0,27.0,164.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bengals,454.0,207.0,45.6,4.9,2219.0,6.0,14.0,52.0,109.0,24.0,26.0,1.0,52.0,273.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cowboys,445.0,255.0,57.3,6.2,2771.0,14.0,21.0,66.6,128.0,28.8,33.0,6.0,35.0,249.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Steelers,439.0,217.0,49.4,6.2,2738.0,12.0,10.0,68.9,128.0,29.2,37.0,3.0,43.0,220.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Buccaneers,433.0,237.0,54.7,6.5,2824.0,18.0,13.0,76.2,144.0,33.3,38.0,5.0,38.0,241.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Dolphins,421.0,243.0,57.7,6.5,2720.0,15.0,17.0,72.2,122.0,29.0,32.0,8.0,28.0,153.0,625.0,4.2,42.4,22.3,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
