Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Raiders,414.0,334.0,61.45,7.0,3792.5,21.0,15.0,84.75,184.0,33.9,11.0,0.0,36.0,237.5,1762.0,4.3,113.0,27.3,4.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cardinals,414.0,334.0,61.45,7.0,3792.5,10.0,15.0,84.75,184.0,33.9,13.0,3.0,36.0,237.5,1823.0,4.4,94.0,22.7,14.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Buccaneers,414.0,334.0,61.45,7.0,3792.5,6.0,15.0,84.75,184.0,33.9,9.0,1.0,36.0,237.5,1557.0,3.8,90.0,21.7,6.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Browns,406.0,334.0,61.45,7.0,3792.5,10.0,15.0,84.75,184.0,33.9,8.0,2.0,36.0,237.5,1615.0,4.0,77.0,19.0,5.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jets,400.0,334.0,61.45,7.0,3792.5,12.0,15.0,84.75,184.0,33.9,8.0,1.0,36.0,237.5,1618.0,4.0,86.0,21.5,5.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Patriots,395.0,334.0,61.45,7.0,3792.5,9.0,15.0,84.75,184.0,33.9,6.0,2.0,36.0,237.5,1508.0,3.8,99.0,25.1,8.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bills,388.0,334.0,61.45,7.0,3792.5,17.0,15.0,84.75,184.0,33.9,10.0,0.0,36.0,237.5,1596.0,4.1,90.0,23.2,14.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bears,382.0,334.0,61.45,7.0,3792.5,8.0,15.0,84.75,184.0,33.9,6.0,0.0,36.0,237.5,1344.0,3.5,79.0,20.7,12.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Lions,358.0,334.0,61.45,7.0,3792.5,9.0,15.0,84.75,184.0,33.9,14.0,2.0,36.0,237.5,1477.0,4.1,69.0,19.3,5.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Rams,343.0,334.0,61.45,7.0,3792.5,11.0,15.0,84.75,184.0,33.9,9.0,3.0,36.0,237.5,1405.0,4.1,76.0,22.2,7.0,184.0,3792.5,11.4,81.8,55.2,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Raiders,486.0,334.0,61.45,7.0,3792.5,26.0,15.0,84.75,184.0,33.9,48.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,418.0,4689.0,11.2,226.0,54.1,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Rams,486.0,334.0,61.45,7.0,3792.5,24.0,15.0,84.75,184.0,33.9,56.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,408.0,4480.0,11.0,219.0,53.7,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Colts,486.0,334.0,61.45,7.0,3792.5,27.0,15.0,84.75,184.0,33.9,51.0,11.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,392.0,4200.0,10.7,213.0,54.3,10.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bills,486.0,334.0,61.45,7.0,3792.5,24.0,15.0,84.75,184.0,33.9,45.0,13.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,377.0,4364.0,11.6,218.0,57.8,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Patriots,486.0,334.0,61.45,7.0,3792.5,28.0,15.0,84.75,184.0,33.9,37.0,3.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,374.0,3767.0,10.1,184.0,49.2,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Packers,486.0,334.0,61.45,7.0,3792.5,29.0,15.0,84.75,184.0,33.9,42.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,361.0,3823.0,10.6,197.0,54.6,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Seahawks,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,45.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,361.0,4257.0,11.8,208.0,57.6,9.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Broncos,486.0,334.0,61.45,7.0,3792.5,21.0,15.0,84.75,184.0,33.9,43.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,359.0,4139.0,11.5,199.0,55.4,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
49ers,486.0,334.0,61.45,7.0,3792.5,23.0,15.0,84.75,184.0,33.9,32.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,354.0,3576.0,10.1,182.0,51.4,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bengals,486.0,334.0,61.45,7.0,3792.5,17.0,15.0,84.75,184.0,33.9,32.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,350.0,3732.0,10.7,186.0,53.1,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Steelers,486.0,334.0,61.45,7.0,3792.5,26.0,15.0,84.75,184.0,33.9,51.0,8.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,350.0,4036.0,11.5,199.0,56.9,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Buccaneers,486.0,334.0,61.45,7.0,3792.5,23.0,15.0,84.75,184.0,33.9,37.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,348.0,3665.0,10.5,172.0,49.4,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Browns,486.0,334.0,61.45,7.0,3792.5,27.0,15.0,84.75,184.0,33.9,47.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,338.0,3665.0,10.8,171.0,50.6,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Giants,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,61.0,4.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,338.0,4103.0,12.1,195.0,57.7,9.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Vikings,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,50.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,337.0,3951.0,11.7,191.0,56.7,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jets,486.0,334.0,61.45,7.0,3792.5,25.0,15.0,84.75,184.0,33.9,44.0,3.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,329.0,3619.0,11.0,190.0,57.8,4.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chargers,486.0,334.0,61.45,7.0,3792.5,17.0,15.0,84.75,184.0,33.9,42.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,324.0,3368.0,10.4,166.0,51.2,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Eagles,486.0,334.0,61.45,7.0,3792.5,27.0,15.0,84.75,184.0,33.9,49.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,318.0,3606.0,11.3,164.0,51.6,7.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bears,486.0,334.0,61.45,7.0,3792.5,22.0,15.0,84.75,184.0,33.9,48.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,310.0,3316.0,10.7,156.0,50.3,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Titans,486.0,334.0,61.45,7.0,3792.5,22.0,15.0,84.75,184.0,33.9,35.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,306.0,3441.0,11.2,182.0,59.5,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Commanders,486.0,334.0,61.45,7.0,3792.5,24.0,15.0,84.75,184.0,33.9,36.0,7.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,300.0,3523.0,11.7,165.0,55.0,7.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chiefs,486.0,334.0,61.45,7.0,3792.5,27.0,15.0,84.75,184.0,33.9,47.0,13.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,292.0,3763.0,12.9,179.0,61.3,0.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Saints,486.0,334.0,61.45,7.0,3792.5,27.0,15.0,84.75,184.0,33.9,48.0,13.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,291.0,3685.0,12.7,169.0,58.1,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cardinals,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,30.0,3.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,291.0,3038.0,10.4,148.0,50.9,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Lions,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,277.0,3168.0,11.4,150.0,54.2,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Dolphins,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,38.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,271.0,3069.0,11.3,155.0,57.2,6.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Falcons,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,48.0,9.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,268.0,3384.0,12.6,163.0,60.8,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jaguars,486.0,334.0,61.45,7.0,3792.5,18.0,15.0,84.75,184.0,33.9,30.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,268.0,3019.0,11.3,156.0,58.2,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Ravens,486.0,334.0,61.45,7.0,3792.5,20.0,15.0,84.75,184.0,33.9,40.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,262.0,3118.0,11.9,145.0,55.3,2.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Panthers,486.0,334.0,61.45,7.0,3792.5,15.0,15.0,84.75,184.0,33.9,51.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,255.0,2981.0,11.7,133.0,52.2,3.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cowboys,486.0,334.0,61.45,7.0,3792.5,14.0,15.0,84.75,184.0,33.9,34.0,10.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,252.0,3020.0,12.0,129.0,51.2,5.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Texans,486.0,334.0,61.45,7.0,3792.5,11.0,15.0,84.75,184.0,33.9,32.0,5.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,235.0,2636.0,11.2,119.0,50.6,1.0,13.0,39.0,0.0,213.0,82.5,15.0,7.0,1017.0
Chiefs,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,27.0,3792.5,11.4,81.8,55.2,4.0,26.0,56.0,1.0,213.0,82.5,15.0,7.0,1017.0
Vikings,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,19.0,3792.5,11.4,81.8,55.2,4.0,26.0,46.0,1.0,213.0,82.5,15.0,7.0,1017.0
Dolphins,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,18.0,3792.5,11.4,81.8,55.2,4.0,24.0,43.0,0.0,213.0,82.5,15.0,7.0,1017.0
Falcons,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,18.0,3792.5,11.4,81.8,55.2,4.0,23.0,43.0,0.0,213.0,82.5,15.0,7.0,1017.0
Broncos,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,21.0,3792.5,11.4,81.8,55.2,4.0,21.0,44.0,0.0,213.0,82.5,15.0,7.0,1017.0
Raiders,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,26.0,3792.5,11.4,81.8,55.2,4.0,21.0,53.0,0.0,213.0,82.5,15.0,7.0,1017.0
Jaguars,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,18.0,3792.5,11.4,81.8,55.2,4.0,19.0,38.0,1.0,213.0,82.5,15.0,7.0,1017.0
Chargers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,17.0,3792.5,11.4,81.8,55.2,4.0,19.0,37.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bills,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,24.0,3792.5,11.4,81.8,55.2,4.0,17.0,43.0,0.0,213.0,82.5,15.0,7.0,1017.0
Seahawks,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,19.0,3792.5,11.4,81.8,55.2,4.0,17.0,40.0,1.0,213.0,82.5,15.0,7.0,1017.0
Titans,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,22.0,3792.5,11.4,81.8,55.2,4.0,16.0,41.0,2.0,213.0,82.5,15.0,7.0,1017.0
Saints,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,27.0,3792.5,11.4,81.8,55.2,4.0,16.0,47.0,2.0,213.0,82.5,15.0,7.0,1017.0
49ers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,23.0,3792.5,11.4,81.8,55.2,4.0,16.0,41.0,1.0,213.0,82.5,15.0,7.0,1017.0
Eagles,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,27.0,3792.5,11.4,81.8,55.2,4.0,15.0,45.0,1.0,213.0,82.5,15.0,7.0,1017.0
Steelers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,26.0,3792.5,11.4,81.8,55.2,4.0,15.0,43.0,0.0,213.0,82.5,15.0,7.0,1017.0
Giants,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,19.0,3792.5,11.4,81.8,55.2,4.0,14.0,34.0,0.0,213.0,82.5,15.0,7.0,1017.0
Bengals,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,17.0,3792.5,11.4,81.8,55.2,4.0,13.0,33.0,0.0,213.0,82.5,15.0,7.0,1017.0
Packers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,29.0,3792.5,11.4,81.8,55.2,4.0,12.0,45.0,0.0,213.0,82.5,15.0,7.0,1017.0
Colts,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,27.0,3792.5,11.4,81.8,55.2,4.0,12.0,40.0,1.0,213.0,82.5,15.0,7.0,1017.0
Jets,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,25.0,3792.5,11.4,81.8,55.2,4.0,12.0,41.0,1.0,213.0,82.5,15.0,7.0,1017.0
Panthers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,15.0,3792.5,11.4,81.8,55.2,4.0,11.0,29.0,1.0,213.0,82.5,15.0,7.0,1017.0
Rams,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,24.0,3792.5,11.4,81.8,55.2,4.0,11.0,36.0,0.0,213.0,82.5,15.0,7.0,1017.0
Browns,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,27.0,3792.5,11.4,81.8,55.2,4.0,10.0,40.0,1.0,213.0,82.5,15.0,7.0,1017.0
Cardinals,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,18.0,3792.5,11.4,81.8,55.2,4.0,10.0,31.0,0.0,213.0,82.5,15.0,7.0,1017.0
Commanders,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,24.0,3792.5,11.4,81.8,55.2,4.0,10.0,36.0,0.0,213.0,82.5,15.0,7.0,1017.0
Ravens,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,20.0,3792.5,11.4,81.8,55.2,4.0,9.0,36.0,1.0,213.0,82.5,15.0,7.0,1017.0
Lions,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,19.0,3792.5,11.4,81.8,55.2,4.0,9.0,32.0,0.0,213.0,82.5,15.0,7.0,1017.0
Patriots,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,28.0,3792.5,11.4,81.8,55.2,4.0,9.0,42.0,1.0,213.0,82.5,15.0,7.0,1017.0
Bears,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,22.0,3792.5,11.4,81.8,55.2,4.0,8.0,30.0,0.0,213.0,82.5,15.0,7.0,1017.0
Cowboys,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,14.0,3792.5,11.4,81.8,55.2,4.0,7.0,26.0,0.0,213.0,82.5,15.0,7.0,1017.0
Texans,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,11.0,3792.5,11.4,81.8,55.2,4.0,6.0,21.0,0.0,213.0,82.5,15.0,7.0,1017.0
Buccaneers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,625.0,4.2,42.4,22.3,7.0,23.0,3792.5,11.4,81.8,55.2,4.0,6.0,34.0,0.0,213.0,82.5,15.0,7.0,1017.0
49ers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,141.0,4.2,28.8,22.3,7.0,182.0,3792.5,11.4,51.4,55.2,4.0,13.0,39.0,0.0,243.0,127.0,13.0,8.0,1082.0
Eagles,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,124.0,4.2,25.4,22.3,7.0,164.0,3792.5,11.4,51.6,55.2,4.0,13.0,39.0,0.0,231.0,90.0,16.0,8.0,1073.0
Cardinals,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,94.0,4.2,22.7,22.3,7.0,148.0,3792.5,11.4,50.9,55.2,4.0,13.0,39.0,0.0,230.0,99.0,13.0,4.0,1003.0
Texans,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,59.0,4.2,13.9,22.3,7.0,119.0,3792.5,11.4,50.6,55.2,4.0,13.0,39.0,0.0,229.0,59.0,14.0,5.0,947.0
Colts,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,93.0,4.2,21.4,22.3,7.0,213.0,3792.5,11.4,54.3,55.2,4.0,13.0,39.0,0.0,227.0,102.0,17.0,13.0,1048.0
Packers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,94.0,4.2,20.8,22.3,7.0,197.0,3792.5,11.4,54.6,55.2,4.0,13.0,39.0,0.0,225.0,87.0,13.0,7.0,1058.0
Panthers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,82.0,4.2,18.1,22.3,7.0,133.0,3792.5,11.4,52.2,55.2,4.0,13.0,39.0,0.0,224.0,64.0,12.0,4.0,960.0
Saints,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,91.0,4.2,21.4,22.3,7.0,169.0,3792.5,11.4,58.1,55.2,4.0,13.0,39.0,0.0,224.0,92.0,13.0,8.0,1001.0
Bengals,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,105.0,4.2,24.6,22.3,7.0,186.0,3792.5,11.4,53.1,55.2,4.0,13.0,39.0,0.0,223.0,87.0,30.0,11.0,1054.0
Steelers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,119.0,4.2,23.2,22.3,7.0,199.0,3792.5,11.4,56.9,55.2,4.0,13.0,39.0,0.0,223.0,94.0,23.0,14.0,1097.0
Browns,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,77.0,4.2,19.0,22.3,7.0,171.0,3792.5,11.4,50.6,55.2,4.0,13.0,39.0,0.0,222.0,90.0,10.0,8.0,993.0
Buccaneers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,90.0,4.2,21.7,22.3,7.0,172.0,3792.5,11.4,49.4,55.2,4.0,13.0,39.0,0.0,222.0,79.0,9.0,6.0,1022.0
Commanders,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,107.0,4.2,24.2,22.3,7.0,165.0,3792.5,11.4,55.0,55.2,4.0,13.0,39.0,0.0,221.0,88.0,25.0,13.0,1039.0
Patriots,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,99.0,4.2,25.1,22.3,7.0,184.0,3792.5,11.4,49.2,55.2,4.0,13.0,39.0,0.0,220.0,94.0,20.0,9.0,1031.0
Lions,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,69.0,4.2,19.3,22.3,7.0,150.0,3792.5,11.4,54.2,55.2,4.0,13.0,39.0,0.0,216.0,64.0,20.0,8.0,955.0
Titans,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,112.0,4.2,21.9,22.3,7.0,182.0,3792.5,11.4,59.5,55.2,4.0,13.0,39.0,0.0,216.0,94.0,16.0,9.0,1032.0
Seahawks,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,104.0,4.2,24.2,22.3,7.0,208.0,3792.5,11.4,57.6,55.2,4.0,13.0,39.0,0.0,216.0,93.0,21.0,6.0,1050.0
Falcons,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,123.0,4.2,23.5,22.3,7.0,163.0,3792.5,11.4,60.8,55.2,4.0,13.0,39.0,0.0,215.0,90.0,10.0,6.0,1038.0
Ravens,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,89.0,4.2,20.8,22.3,7.0,145.0,3792.5,11.4,55.3,55.2,4.0,13.0,39.0,0.0,215.0,81.0,13.0,7.0,947.0
Giants,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,95.0,4.2,19.6,22.3,7.0,195.0,3792.5,11.4,57.7,55.2,4.0,13.0,39.0,0.0,213.0,84.0,14.0,5.0,1059.0
Bills,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,90.0,4.2,23.2,22.3,7.0,218.0,3792.5,11.4,57.8,55.2,4.0,13.0,39.0,0.0,212.0,90.0,12.0,7.0,1054.0
Bears,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,79.0,4.2,20.7,22.3,7.0,156.0,3792.5,11.4,50.3,55.2,4.0,13.0,39.0,0.0,210.0,71.0,21.0,10.0,969.0
Chargers,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,117.0,4.2,25.1,22.3,7.0,166.0,3792.5,11.4,51.2,55.2,4.0,13.0,39.0,0.0,210.0,78.0,12.0,4.0,1028.0
Vikings,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,139.0,4.2,29.4,22.3,7.0,191.0,3792.5,11.4,56.7,55.2,4.0,13.0,39.0,0.0,209.0,92.0,17.0,8.0,1080.0
Cowboys,486.0,334.0,61.45,7.0,3792.5,19.0,15.0,84.75,184.0,33.9,40.0,6.0,36.0,237.5,87.0,4.2,20.6,22.3,7.0,129.0,3792.5,11.4,51.2,55.2,4.0,13.0,39.0,0.0,208.0,50.0,12.0,4.0,948.0
